Missing File,Referenced In
stervander-welcome.jpg,2017-09-01-stervander-joins-lab.qmd
ancient-mtdna-lineages.jpg,2017-11-01-ancient-mtdna-lineages.qmd
developmental-armor-loss.jpg,2017-11-08-developmental-armor-loss.qmd
naturalistic-experimental-design.jpg,2018-01-16-naturalistic-experimental-design.qmd
ancient-genomic-variation.jpg,2018-01-26-ancient-genomic-variation.qmd
alternative-haplotypes.jpg,2018-07-01-alternative-haplotypes.qmd
stickleback-evolution.jpg,2018-07-01-bassham-parallel-evolution.qmd
environmental-evolutionary-drivers.jpg,2019-03-01-environmental-evolutionary-drivers.qmd
threespine-ipa.jpg,2019-05-01-threespine-ipa.qmd
niebergall-goldwater.jpg,2019-05-28-niebergall-goldwater.qmd
oregon-gut-microbiome.jpg,2019-06-26-oregon-gut-microbiome.qmd
selection-linkage-structure.jpg,2019-08-01-selection-linkage-structure.qmd
genetic-phenotypic-divergence.jpg,2019-10-01-oregon-stickleback-divergence.qmd
score-students-2019.jpg,2019-11-01-score-students.qmd
microbial-methods.jpg,2019-11-05-microbial-methods.qmd
neutrophil-qtl.jpg,2019-12-17-neutrophil-qtl.qmd
new-year-2020.jpg,2019-12-30-happy-new-year-2020.qmd
few-stickleback-modeling.jpg,2020-02-01-few-stickleback-suffice.qmd
chromonomer-tool.jpg,2020-02-05-chromonomer-tool.qmd
stervander-marie-curie.jpg,2020-02-20-stervander-marie-curie.qmd
mito-nuclear-interactions.jpg,2022-04-01-beck-mito-nuclear.qmd
healey-genetics-paper.jpg,2022-04-01-healey-genetics-paper.qmd
single-cell-iso-seq.jpg,2022-04-01-healey-single-cell.qmd
healey-f31-fellowship.jpg,2022-06-01-healey-f31-fellowship.qmd
seadragon-nytimes.jpg,2022-07-07-seadragon-nytimes.qmd
cresko-lokey-chair.jpg,2022-09-16-cresko-lokey-chair.qmd
covid-latinx-intervention.jpg,2022-09-23-covid-latinx-intervention.qmd
meyer-knight-scholar.jpg,2023-05-15-meyer-knight-scholar.qmd
goyal-hui-fellowship.jpg,2023-06-01-goyal-hui-fellowship.qmd
woods-ms-magazine.jpg,2023-09-20-woods-ms-magazine.qmd
lokey-chair.jpg,2024-10-01-lokey-chair.qmd
micah-woods.jpg,2024-11-15-woods-ms-magazine.qmd
micah-woods.jpg,2025-11-05-contreras-SACNAS.qmd
micah-woods.jpg,2025-11-20-lujan-defense.qmd
